TIME_STAMPING,ALTITUDE
0,702.9
1,704.7
2,701.2
3,699.5
4,699.2
5,698.7
6,699.6
7,696.0
8,704.5
9,701.7
10,697.8
11,695.5
12,702.8
13,697.7
14,701.2
15,700.3
16,699.7
17,704.1
18,700.4
19,698.3
20,697.0
21,702.7
22,695.3
23,697.2
24,698.4
25,695.2
26,695.0
27,703.3
28,703.3
29,699.1
30,697.4
31,700.0
32,696.9
33,703.5
34,697.3
35,699.6
36,700.4
37,702.2
38,697.2
39,698.1
40,701.2
41,701.3
42,704.7
43,696.2
44,704.1
45,701.6
46,695.7
47,703.7
48,701.4
49,700.7
50,703.6
51,698.1
52,696.4
53,702.2
54,704.7
55,698.6
56,701.3
57,701.8
58,704.8
59,698.2
60,696.6
61,700.3
62,701.0
63,697.1
64,704.8
65,704.0
66,695.5
67,702.1
68,700.1
69,704.7
70,697.6
71,697.4
72,701.2
73,700.5
74,702.5
75,704.2
76,696.9
77,699.4
78,700.8
79,703.6
80,695.7
81,695.2
82,696.0
83,701.7
84,697.0
85,702.3
86,702.8
87,702.0
88,703.5
89,704.3
90,700.1
91,699.4
92,700.9
93,696.5
94,699.6
95,701.5
96,703.7
97,703.3
98,695.6
99,699.6
100,704.1
101,695.0
102,703.1
103,700.4
104,703.0
105,702.9
106,699.6
107,698.0
108,697.7
109,701.6
110,704.0
111,703.3
112,705.0
113,701.5
114,697.6
115,697.3
116,699.9
117,695.6
118,699.0
119,703.7
120,695.4
121,699.2
122,702.4
123,696.7
124,696.8
125,702.5
126,698.8
127,695.4
128,699.5
129,703.6
130,698.4
131,702.3
132,702.9
133,695.7
134,702.0
135,701.9
136,696.5
137,699.0
138,700.4
