TIME_STAMPING,ROTOR_RPM
0,2173.0
1,2117.0
2,2168.0
3,2126.0
4,2056.0
5,2196.0
6,2105.0
7,2073.0
8,2055.0
9,2126.0
10,2128.0
11,2108.0
12,2080.0
13,2182.0
14,2078.0
15,2151.0
16,2161.0
17,2182.0
18,2165.0
19,2231.0
20,2196.0
21,2209.0
22,2152.0
23,2244.0
24,2161.0
25,2102.0
26,2176.0
27,2105.0
28,2125.0
29,2066.0
30,2094.0
31,2124.0
32,2138.0
33,2179.0
34,2077.0
35,2182.0
36,2196.0
37,2247.0
38,2212.0
39,2237.0
40,2231.0
41,2079.0
42,2099.0
43,2101.0
44,2228.0
45,2152.0
46,2191.0
47,2189.0
48,2129.0
49,2095.0
50,2093.0
51,2126.0
52,2064.0
53,2201.0
54,2139.0
55,2195.0
56,2249.0
57,2120.0
58,2178.0
59,2101.0
60,2246.0
61,2236.0
62,2062.0
63,2106.0
64,2113.0
65,2171.0
66,2116.0
67,2127.0
68,2164.0
69,2186.0
70,2146.0
71,2155.0
72,2232.0
73,2137.0
74,2183.0
75,2145.0
76,2190.0
77,2058.0
78,2217.0
79,2178.0
80,2130.0
81,2103.0
82,2223.0
83,2115.0
84,2132.0
85,2171.0
86,2183.0
87,2197.0
88,2199.0
89,2107.0
90,2210.0
91,2130.0
92,2131.0
93,2162.0
94,2141.0
95,2099.0
96,2141.0
97,2133.0
98,2167.0
99,2053.0
100,2200.0
101,2211.0
102,2145.0
103,2244.0
104,2146.0
105,2054.0
106,2203.0
107,2069.0
108,2170.0
109,2154.0
110,2147.0
111,2102.0
112,2091.0
113,2111.0
114,2136.0
115,2129.0
116,2188.0
117,2200.0
118,2123.0
119,2227.0
120,2247.0
121,2227.0
122,2187.0
123,2109.0
124,2060.0
125,2197.0
126,2108.0
127,2200.0
128,2146.0
129,2076.0
130,2076.0
131,2101.0
132,2114.0
133,2166.0
134,2191.0
135,2181.0
136,2080.0
137,2229.0
138,2227.0
139,2248.0
140,2087.0
141,2137.0
142,2107.0
143,2155.0
144,2161.0
145,2070.0
146,2145.0
147,2197.0
148,2204.0
149,2106.0
150,2093.0
151,2053.0
152,2133.0
153,2075.0
154,2135.0
155,2216.0
156,2244.0
157,2088.0
158,2215.0
159,2069.0
160,2249.0
161,2203.0
162,2144.0
163,2231.0
164,2147.0
165,2193.0
166,2181.0
167,2200.0
168,2192.0
169,2229.0
170,2195.0
171,2102.0
172,2248.0
173,2234.0
174,2239.0
175,2209.0
176,2080.0
177,2070.0
178,2060.0
179,2121.0
180,2201.0
181,2102.0
182,2064.0
183,2168.0
184,2156.0
185,2135.0
186,2118.0
187,2140.0
188,2190.0
189,2243.0
190,2055.0
191,2101.0
192,2112.0
193,2146.0
194,2107.0
