TEAM_ID,TIME_STAMPING,PACKET_COUNT,ALTITUDE,PRESSURE,TEMP,VOLTAGE,GNSS_TIME,GNSS_LATITUDE,GNSS_LONGITUDE,GNSS_ALTITUDE,GNSS_SATS,ACCEL_R,ACCEL_P,ACCEL_Y,GYRO_R,GYRO_P,GYRO_Y,FLIGHT_STATE,HUMIDITY,UV_INDEX,LIGHT_INTENSITY,ROTOR_RPM,MAG_R,MAG_P,MAG_Y,MODE,CMD_ECHO
2026-INSPACe-CAN-7USAT-036,00:01:04,65,702.0,940.9,24.4,7.63,00:01:04,28.6128,77.2299,702.0,9,0.12,0.08,9.81,12.4,8.7,3.2,5,41.3,3.0,170.0,2163.0,0.18,0.05,0.41,1,OK
2026-INSPACe-CAN-7USAT-036,00:01:05,66,695.2,940.2,23.1,7.65,00:01:05,28.6126,77.23,695.2,9,0.12,0.08,9.81,12.4,8.7,3.2,5,43.1,2.9,171.5,2184.0,0.18,0.05,0.41,1,OK
2026-INSPACe-CAN-7USAT-036,00:01:06,67,696.4,938.8,24.8,7.65,00:01:06,28.6129,77.2298,696.4,9,0.12,0.08,9.81,12.4,8.7,3.2,5,42.5,3.3,184.0,2124.0,0.18,0.05,0.41,1,OK
2026-INSPACe-CAN-7USAT-036,00:01:07,68,700.4,941.5,23.6,7.57,00:01:07,28.6131,77.2295,700.4,9,0.12,0.08,9.81,12.4,8.7,3.2,5,47.0,2.0,187.6,2107.0,0.18,0.05,0.41,1,OK
2026-INSPACe-CAN-7USAT-036,00:01:08,69,695.4,941.6,23.8,7.62,00:01:08,28.6129,77.23,695.4,9,0.12,0.08,9.81,12.4,8.7,3.2,5,48.7,3.6,243.7,2107.0,0.18,0.05,0.41,1,OK
2026-INSPACe-CAN-7USAT-036,00:01:09,70,700.7,938.6,24.1,7.65,00:01:09,28.6127,77.2291,700.7,9,0.12,0.08,9.81,12.4,8.7,3.2,5,49.7,2.6,226.2,2126.0,0.18,0.05,0.41,1,OK
2026-INSPACe-CAN-7USAT-036,00:01:10,71,695.4,938.5,23.0,7.63,00:01:10,28.6128,77.2297,695.4,9,0.12,0.08,9.81,12.4,8.7,3.2,5,44.6,3.0,209.0,2131.0,0.18,0.05,0.41,1,OK
2026-INSPACe-CAN-7USAT-036,00:01:11,72,701.2,941.6,24.2,7.6,00:01:11,28.613,77.2292,701.2,9,0.12,0.08,9.81,12.4,8.7,3.2,5,49.8,2.4,211.1,2242.0,0.18,0.05,0.41,1,OK
2026-INSPACe-CAN-7USAT-036,00:01:12,73,697.9,941.6,23.1,7.62,00:01:12,28.6128,77.2298,697.9,9,0.12,0.08,9.81,12.4,8.7,3.2,5,49.1,3.3,235.8,2208.0,0.18,0.05,0.41,1,OK
2026-INSPACe-CAN-7USAT-036,00:01:13,74,703.3,941.5,23.5,7.64,00:01:13,28.6127,77.2293,703.3,9,0.12,0.08,9.81,12.4,8.7,3.2,5,43.6,2.7,230.3,2214.0,0.18,0.05,0.41,1,OK
